hero,minor_patch,wins_total,games_total,wins_battlefield_of_eternity,games_battlefield_of_eternity,wins_blackhearts_bay,games_blackhearts_bay,wins_braxis_holdout,games_braxis_holdout,wins_cursed_hollow,games_cursed_hollow,wins_dragon_shire,games_dragon_shire,wins_garden_of_terror,games_garden_of_terror,wins_hanamura_temple,games_hanamura_temple,wins_haunted_mines,games_haunted_mines,wins_infernal_shrines,games_infernal_shrines,wins_sky_temple,games_sky_temple,wins_tomb_of_the_spider_queen,games_tomb_of_the_spider_queen,wins_towers_of_doom,games_towers_of_doom,wins_warhead_junction,games_warhead_junction,wins_volskaya_foundry,games_volskaya_foundry,wins_alterac_pass,games_alterac_pass
genji,2.54.2.85551,179,386,14,26,,,17,37,15,33,20,33,14,28,17,39,,,10,23,12,32,9,21,18,41,21,41,,,12,32
genji,2.54.2.85576,2375,5456,128,311,,,287,632,203,497,188,458,181,384,284,636,,,146,321,194,418,127,326,203,512,242,538,,,192,423
genji,2.54.2.85894,3381,7348,191,457,,,408,881,301,631,244,543,254,567,377,816,,,192,415,279,623,213,459,320,667,325,696,,,277,593
genji,2.54.3.86223,5471,12177,340,778,,,671,1459,466,991,458,1066,431,916,625,1383,,,327,799,425,945,300,650,463,1033,521,1154,,,444,1003
genji,2.55.0.86938,5144,11277,325,735,,,695,1451,453,945,398,918,326,788,623,1329,,,284,650,404,873,266,631,464,991,540,1143,,,366,823
genji,2.55.1.87306,6125,13123,393,905,,,712,1510,504,1084,492,1122,444,937,731,1508,,,345,769,515,1101,308,707,594,1166,630,1304,,,457,1010
genji,2.55.2.87774,3191,6694,212,448,,,362,740,290,609,247,522,266,518,374,758,,,163,388,258,546,145,346,307,619,331,691,,,236,509
genji,2.55.2.87990,1466,3071,93,202,,,133,301,136,272,100,220,126,250,164,346,,,81,179,137,288,65,149,167,342,157,287,,,107,235
genji,2.55.2.88122,7092,15361,499,1098,,,768,1656,613,1319,571,1245,513,1089,824,1702,,,381,913,568,1304,362,832,674,1433,775,1611,,,544,1159
genji,2.55.3.88481,9715,20258,640,1370,,,1120,2279,888,1828,782,1603,747,1570,1074,2198,,,534,1176,825,1741,459,1028,929,1859,985,2029,,,732,1577
genji,2.55.3.88936,9494,19514,643,1352,,,977,1979,854,1669,754,1629,743,1519,1060,2202,,,542,1178,796,1635,435,982,910,1753,1028,2034,,,752,1582
genji,2.55.3.89566,2861,5855,178,385,,,278,567,258,519,232,517,244,476,337,638,,,176,344,251,520,143,285,242,537,309,639,,,213,428
genji,2.55.3.89754,15774,32857,1214,2633,,,1958,3960,1681,3352,1475,3095,1377,2865,,,,,1057,2326,1664,3348,915,2054,1702,3491,,,1239,2667,1492,3066
genji,2.55.3.90670,5520,11187,449,914,,,604,1231,653,1222,490,1043,493,978,,,,,360,774,580,1184,330,700,621,1198,,,432,907,508,1036
genji,2.55.3.91020,203,405,11,28,,,24,43,26,41,24,47,18,33,,,,,15,27,27,56,8,19,19,44,,,15,27,16,40
genji,2.55.3.91081,292,632,24,42,,,41,82,23,51,23,55,30,63,,,,,25,49,25,60,26,46,31,77,,,15,50,29,57
genji,2.55.3.91093,5152,10481,375,828,,,701,1321,541,1068,464,1007,458,932,,,,,333,699,519,1044,300,638,574,1137,,,387,799,500,1008
genji,2.55.4.91368,490,967,35,71,,,70,138,62,117,50,100,40,81,,,,,35,61,45,88,20,47,55,105,,,42,78,36,81
genji,2.55.4.91418,6763,14019,493,1079,,,882,1771,790,1506,676,1346,618,1249,,,,,458,989,631,1345,377,848,747,1485,,,501,1130,590,1271
genji,2.55.4.91769,9876,20304,745,1578,,,1280,2604,1084,2127,919,1919,885,1771,,,,,635,1352,1002,2017,586,1306,1046,2110,,,801,1681,893,1839
genji,2.55.5.92264,6930,14079,511,1114,,,878,1693,754,1453,674,1339,631,1251,,,,,464,1025,673,1373,413,879,768,1473,,,549,1172,615,1307
genji,2.55.6.92665,3918,8328,306,661,,,486,1062,430,940,358,764,378,741,,,,,257,568,352,761,227,493,434,850,,,319,687,371,801
genji,2.55.7.93009,421,858,30,60,,,66,126,53,96,33,81,29,70,,,,,24,59,38,93,19,41,54,91,,,37,67,38,74
genji,2.55.7.93054,1374,2936,102,225,,,194,392,168,314,150,287,108,246,,,,,70,183,127,287,81,190,131,310,,,115,222,128,280
genji,2.55.7.93151,1358,2850,104,224,,,194,369,156,278,129,286,127,250,,,,,83,178,115,268,87,172,152,322,,,110,257,101,246
genji,2.55.8.93357,161,336,12,25,,,25,53,17,28,9,24,11,21,,,,,12,18,13,33,10,32,20,36,,,13,30,19,36
genji,2.55.8.93382,2288,4850,178,396,,,352,658,221,516,224,459,209,422,,,,,130,305,215,465,123,267,259,549,,,176,390,201,423
genji,2.55.9.93565,27,56,2,6,,,3,7,3,5,4,5,3,5,,,,,2,3,2,6,2,2,2,6,,,2,5,2,6
genji,2.55.9.93613,345,727,28,58,,,61,110,28,64,31,65,29,61,,,,,22,55,29,65,12,35,49,90,,,29,66,27,58
genji,2.55.9.93640,2456,5072,162,348,,,323,672,271,555,233,453,197,404,,,,,155,343,265,529,138,313,284,550,,,192,423,236,482
genji,2.55.10.93810,3814,7995,257,553,,,564,1118,430,871,346,766,297,638,,,,,258,554,377,785,217,491,432,854,,,309,661,327,704
genji,2.55.10.94189,820,1808,69,152,,,100,231,87,192,64,151,79,157,,,,,58,126,81,169,34,92,96,199,,,65,146,87,193
genji,2.55.10.94387,909,1951,63,140,,,131,272,104,226,87,184,79,175,,,,,64,140,88,184,55,124,89,198,,,72,144,77,164
genji,2.55.10.94470,2720,5816,194,455,,,392,798,299,591,242,530,220,509,,,,,173,400,270,559,158,342,293,637,,,214,475,265,520
genji,2.55.12.94714,369,761,25,66,,,53,109,49,89,28,65,36,63,,,,,24,51,35,66,16,39,39,80,,,34,62,30,71
genji,2.55.12.94786,2596,5522,173,388,,,359,738,320,601,225,511,207,453,,,,,187,399,234,540,147,325,276,582,,,216,443,252,542
genji,2.55.13.95213,184,396,12,32,,,27,52,14,46,17,39,16,28,,,,,8,27,24,38,12,26,23,41,,,14,32,17,35
genji,2.55.13.95301,534,1227,38,94,,,91,188,65,131,40,110,53,102,,,,,24,74,46,103,29,77,64,142,,,41,96,43,110
greymane,2.53.0.83004,1430,2864,174,357,,,50,122,158,295,115,245,134,286,118,235,,,125,230,145,275,83,178,108,216,,,96,182,124,243
greymane,2.53.0.83077,27,46,5,9,,,2,2,1,3,1,3,4,5,3,3,,,5,6,3,4,1,4,0,4,,,,,2,3
greymane,2.53.0.83086,9682,19330,1194,2483,,,494,1050,916,1773,749,1489,1033,2051,828,1565,,,772,1510,933,1823,667,1349,688,1454,,,654,1250,754,1533
greymane,2.53.1.83632,409,816,54,120,,,15,34,46,87,33,55,39,79,32,64,,,42,74,44,83,21,51,32,68,,,22,51,29,50
greymane,2.53.1.83716,8253,16476,1056,2163,,,418,893,784,1524,652,1256,898,1808,639,1302,,,640,1249,821,1563,579,1156,576,1195,,,516,1045,674,1322
greymane,2.53.2.84200,396,800,48,115,,,20,41,34,73,36,64,46,93,33,66,,,26,56,36,79,24,54,41,60,,,17,43,35,56
greymane,2.53.3.84249,15293,31069,1986,4158,,,782,1544,1520,3008,1203,2383,1686,3384,1157,2344,,,1164,2374,1442,2886,1046,2147,1134,2400,,,887,1856,1286,2585
greymane,2.54.0.85027,7486,15172,1071,2179,,,345,725,694,1339,568,1183,775,1552,576,1165,,,524,1121,726,1380,533,1016,478,1059,631,1274,,,565,1179
greymane,2.54.1.85267,1463,2983,203,450,,,78,157,131,239,115,245,163,308,107,231,,,114,203,127,255,90,185,106,235,132,249,,,97,226
greymane,2.54.1.85311,6145,12418,913,1875,,,287,616,571,1109,425,905,614,1242,430,902,,,443,893,543,1075,398,795,468,937,572,1115,,,481,954
greymane,2.54.2.85551,344,739,56,124,,,16,41,30,55,30,58,37,81,27,56,,,27,51,35,69,15,49,16,40,31,65,,,24,50
greymane,2.54.2.85576,5856,11734,867,1802,,,292,591,586,1086,430,872,547,1108,456,885,,,413,851,506,1029,380,790,436,859,480,962,,,463,899
greymane,2.54.2.85894,7109,14183,1037,2154,,,318,644,648,1271,531,1046,761,1501,546,1014,,,513,1020,689,1312,459,958,502,1014,550,1157,,,555,1092
greymane,2.54.3.86223,10797,21698,1716,3510,,,520,1026,897,1776,872,1744,1099,2285,825,1650,,,837,1592,875,1751,634,1331,756,1506,895,1814,,,871,1713
greymane,2.55.0.86938,9812,19777,1471,2995,,,461,961,929,1770,730,1462,1006,2017,718,1482,,,660,1335,891,1783,625,1278,772,1544,795,1631,,,754,1519
greymane,2.55.1.87306,10302,20738,1405,2781,,,556,1135,895,1808,760,1506,1031,2112,721,1506,,,815,1643,963,1864,757,1535,726,1519,887,1744,,,786,1585
greymane,2.55.2.87774,4733,9492,656,1345,,,238,481,430,842,364,712,481,965,339,698,,,371,711,414,847,316,653,324,702,409,767,,,391,769
greymane,2.55.2.87990,2039,4244,289,587,,,91,193,207,419,155,288,196,426,142,319,,,122,262,202,394,127,288,177,358,176,377,,,155,333
greymane,2.55.2.88122,8074,16537,1234,2509,,,385,817,774,1541,539,1123,851,1716,595,1219,,,595,1227,720,1414,523,1137,517,1121,708,1432,,,633,1281
greymane,2.55.3.88481,10381,21362,1579,3225,,,510,1066,996,1930,728,1518,1078,2195,746,1539,,,807,1623,961,1936,700,1459,654,1452,836,1782,,,786,1637
greymane,2.55.3.88936,8732,17761,1355,2768,,,403,852,763,1520,592,1225,919,1807,618,1282,,,652,1307,826,1613,592,1225,579,1250,717,1473,,,716,1439
greymane,2.55.3.89566,2885,5838,424,869,,,134,266,280,520,215,405,280,605,189,404,,,230,472,267,538,220,414,197,430,250,478,,,199,437
greymane,2.55.3.89754,16334,33290,2628,5555,,,866,1807,1591,3191,1241,2580,1959,3849,,,,,1349,2760,1725,3404,1331,2695,1228,2487,,,959,2010,1457,2952
greymane,2.55.3.90670,5155,10564,793,1665,,,285,590,511,1042,396,824,644,1251,,,,,428,898,515,1046,412,857,359,767,,,329,651,483,973
greymane,2.55.3.91020,187,386,35,68,,,10,21,17,41,14,36,25,41,,,,,14,26,21,40,19,32,10,27,,,9,23,13,31
greymane,2.55.3.91081,276,571,46,103,,,11,33,28,55,21,37,37,74,,,,,24,48,34,57,21,40,21,42,,,12,28,21,54
greymane,2.55.3.91093,5277,10971,853,1837,,,284,597,515,1047,412,897,639,1279,,,,,468,963,538,1074,385,802,386,823,,,323,692,474,960
greymane,2.55.4.91368,652,1287,104,217,,,29,77,67,115,52,104,67,129,,,,,49,98,75,145,63,106,50,109,,,36,70,60,117
greymane,2.55.4.91418,7463,15324,1192,2515,,,427,900,710,1423,558,1188,843,1718,,,,,697,1356,801,1520,573,1218,575,1198,,,443,940,644,1348
greymane,2.55.4.91769,10118,20643,1734,3515,,,535,1139,939,1929,742,1591,1158,2339,,,,,888,1779,1033,2017,761,1604,719,1518,,,637,1296,972,1916
greymane,2.55.5.92264,7258,14931,1261,2608,,,389,851,771,1524,518,1076,832,1692,,,,,632,1242,677,1378,568,1180,511,1092,,,478,974,621,1314
greymane,2.55.6.92665,4760,9841,806,1707,,,233,537,470,965,346,715,565,1165,,,,,391,800,484,959,386,795,347,700,,,305,634,427,864
greymane,2.55.7.93009,612,1250,85,171,,,34,62,53,124,51,93,79,162,,,,,53,119,56,119,60,112,39,83,,,44,87,58,118
greymane,2.55.7.93054,1937,4028,300,647,,,87,203,222,419,177,330,224,477,,,,,159,329,186,382,151,320,129,293,,,115,257,187,371
greymane,2.55.7.93151,1984,4061,345,687,,,101,236,171,383,154,311,223,458,,,,,185,327,199,392,168,355,137,300,,,126,254,175,358
greymane,2.55.8.93357,288,570,36,81,,,17,34,29,47,28,47,32,62,,,,,20,54,29,56,32,54,23,45,,,17,36,25,54
greymane,2.55.8.93382,3303,6732,541,1167,,,178,387,317,629,254,517,368,731,,,,,290,596,313,620,277,530,240,520,,,212,424,313,611
greymane,2.55.9.93565,37,80,4,11,,,0,2,3,5,2,8,6,13,,,,,7,9,7,7,4,9,2,6,,,1,4,1,6
greymane,2.55.9.93613,522,1067,83,163,,,35,71,47,90,43,87,60,115,,,,,51,102,50,95,50,104,31,81,,,31,63,41,96
greymane,2.55.9.93640,3294,6594,513,1048,,,161,352,366,655,230,479,403,782,,,,,283,560,307,602,296,574,226,493,,,227,455,282,594
greymane,2.55.10.93810,5120,10633,859,1749,,,298,645,521,1048,418,841,579,1234,,,,,427,848,470,981,377,809,379,825,,,317,659,475,994
greymane,2.55.10.94189,1149,2331,180,377,,,63,135,105,222,93,160,144,282,,,,,100,198,115,207,106,202,81,167,,,57,137,105,244
greymane,2.55.10.94387,1301,2662,256,473,,,78,157,108,228,89,198,150,306,,,,,109,216,124,255,113,246,74,152,,,79,175,121,256
greymane,2.55.10.94470,3895,7884,635,1277,,,211,421,381,731,338,657,499,958,,,,,338,689,341,714,287,601,273,562,,,292,581,300,693
greymane,2.55.12.94714,527,1102,84,196,,,41,72,41,94,36,78,71,136,,,,,49,95,48,101,39,76,32,71,,,45,92,41,91
greymane,2.55.12.94786,4097,8354,695,1411,,,192,442,401,787,288,617,521,1024,,,,,361,719,391,789,321,654,287,615,,,243,503,397,793
greymane,2.55.13.95213,296,639,41,102,,,20,36,25,54,24,50,40,74,,,,,31,59,27,59,19,46,17,47,,,19,46,33,66
greymane,2.55.13.95301,1009,1982,164,320,,,45,98,104,213,76,144,108,221,,,,,92,167,89,179,90,180,79,150,,,68,137,94,173
guldan,2.53.0.83004,1055,2084,48,112,,,186,394,67,113,76,155,59,133,69,142,,,116,235,75,127,137,239,71,141,,,68,140,83,153
guldan,2.53.0.83077,23,35,2,2,,,5,5,0,2,2,2,1,2,1,2,,,3,8,1,1,7,7,1,2,,,0,2,,
guldan,2.53.0.83086,7272,14433,326,668,,,1445,2857,435,860,550,1010,480,961,506,982,,,729,1491,506,995,863,1744,401,812,,,498,1007,533,1046
guldan,2.53.1.83632,350,684,21,36,,,62,122,23,48,24,43,30,51,29,54,,,41,77,24,43,34,75,15,48,,,22,40,25,47
guldan,2.53.1.83716,7594,14919,373,750,,,1363,2800,456,915,531,1053,514,1003,547,1052,,,787,1564,537,1006,917,1807,489,915,,,551,1066,529,988
guldan,2.53.2.84200,448,865,23,47,,,93,188,23,49,31,54,31,55,30,68,,,43,80,35,61,59,100,26,45,,,28,66,26,52
guldan,2.53.3.84249,16482,32665,836,1677,,,3052,6150,1010,1997,1210,2368,1220,2335,1156,2330,,,1582,3197,1188,2363,1966,3800,1053,2062,,,1112,2180,1097,2206
guldan,2.54.0.85027,6168,12292,331,652,,,1090,2236,375,758,487,911,462,878,442,898,,,568,1177,462,894,729,1440,410,810,427,840,,,385,798
guldan,2.54.1.85267,1130,2286,63,131,,,191,387,65,135,96,172,66,155,90,171,,,128,251,77,156,125,270,76,161,80,141,,,73,156
guldan,2.54.1.85311,5103,10413,308,590,,,867,1910,318,648,374,714,352,746,365,754,,,527,1010,365,740,583,1158,338,696,329,662,,,377,785
guldan,2.54.2.85551,281,533,25,46,,,47,94,14,23,18,27,26,39,18,40,,,29,57,20,43,37,64,12,33,13,26,,,22,41
guldan,2.54.2.85576,4421,9033,268,553,,,776,1612,291,551,340,659,311,656,335,718,,,425,878,333,651,459,975,283,565,280,582,,,320,633
guldan,2.54.2.85894,5089,10510,296,594,,,924,1986,337,690,378,773,317,715,395,817,,,483,1028,367,720,595,1185,309,619,320,650,,,368,733
guldan,2.54.3.86223,8301,16880,483,989,,,1503,3199,501,968,618,1246,602,1195,646,1305,,,757,1576,578,1124,915,1868,561,1109,544,1118,,,593,1183
guldan,2.55.0.86938,7943,16413,437,871,,,1581,3300,485,952,563,1145,566,1173,548,1229,,,768,1570,553,1141,874,1839,529,1061,528,1067,,,511,1065
guldan,2.55.1.87306,6681,13549,340,749,,,1321,2798,368,781,451,912,484,957,523,1035,,,650,1286,495,979,799,1508,441,883,382,778,,,427,883
guldan,2.55.2.87774,4304,8923,220,450,,,818,1774,258,530,307,622,326,630,305,656,,,411,890,321,632,487,1047,265,542,283,554,,,303,596
guldan,2.55.2.87990,1675,3450,88,186,,,303,641,110,224,112,245,107,224,113,260,,,153,297,142,273,207,406,114,232,105,224,,,121,238
guldan,2.55.2.88122,7259,14406,401,851,,,1482,2948,430,822,523,973,501,982,547,1089,,,698,1443,522,1013,777,1587,489,929,425,846,,,464,923
guldan,2.55.3.88481,8247,16834,446,917,,,1698,3567,453,938,560,1179,582,1112,602,1222,,,785,1615,585,1163,889,1851,527,1031,557,1070,,,563,1169
guldan,2.55.3.88936,7309,14684,379,808,,,1491,3083,454,925,479,948,500,1003,503,1104,,,707,1420,543,1034,804,1558,491,955,472,894,,,486,952
guldan,2.55.3.89566,2278,4554,120,233,,,462,926,137,275,147,302,151,320,169,352,,,240,463,156,327,250,479,144,273,148,288,,,154,316
guldan,2.55.3.89754,12720,25669,750,1484,,,2929,5968,747,1573,935,1776,917,1826,,,,,1351,2628,963,1935,1470,3008,860,1747,,,922,1950,876,1774
guldan,2.55.3.90670,3950,7919,210,427,,,851,1818,261,526,300,559,267,554,,,,,421,811,326,602,483,965,271,529,,,273,563,287,565
guldan,2.55.3.91020,132,282,15,21,,,26,54,7,17,13,29,11,26,,,,,19,38,7,13,13,36,7,14,,,7,17,7,17
guldan,2.55.3.91081,213,483,13,35,,,35,98,11,26,19,35,17,30,,,,,25,56,24,40,25,61,12,36,,,11,26,21,40
guldan,2.55.3.91093,4019,8132,255,490,,,918,1885,225,515,295,588,291,579,,,,,418,805,321,616,473,954,287,570,,,276,574,260,556
guldan,2.55.4.91368,464,910,40,63,,,94,192,19,45,32,70,35,73,,,,,50,101,36,63,53,112,34,66,,,33,57,38,68
guldan,2.55.4.91418,6410,12701,353,740,,,1341,2726,423,853,492,921,471,939,,,,,654,1318,472,941,758,1487,460,899,,,494,926,492,951
guldan,2.55.4.91769,8711,17628,525,1072,,,1847,3854,577,1159,696,1320,649,1342,,,,,883,1729,707,1348,1034,2091,574,1217,,,611,1250,608,1246
guldan,2.55.5.92264,6493,13059,358,725,,,1371,2771,450,901,487,969,463,951,,,,,684,1331,539,1030,753,1563,444,885,,,465,974,479,959
guldan,2.55.6.92665,4917,10016,256,551,,,1001,2109,321,628,363,726,386,754,,,,,490,1023,390,765,616,1230,360,702,,,372,748,362,780
guldan,2.55.7.93009,640,1210,33,61,,,144,263,46,82,36,75,43,85,,,,,64,127,48,83,73,154,44,80,,,58,105,51,95
guldan,2.55.7.93054,1881,3748,114,209,,,393,819,112,227,131,264,118,254,,,,,184,377,150,303,239,463,140,266,,,158,281,142,285
guldan,2.55.7.93151,1941,3910,124,245,,,380,828,121,252,162,302,158,292,,,,,192,375,140,291,217,447,145,284,,,161,297,141,297
guldan,2.55.8.93357,238,476,12,22,,,56,120,17,33,21,36,12,30,,,,,26,42,18,32,27,66,15,27,,,16,30,18,38
guldan,2.55.8.93382,3409,6698,218,431,,,723,1424,204,427,231,456,253,484,,,,,353,696,297,556,371,762,243,473,,,276,515,240,474
guldan,2.55.9.93565,53,106,5,10,,,9,19,3,4,2,8,5,6,,,,,5,12,8,12,4,11,2,8,,,7,10,3,6
guldan,2.55.9.93613,531,1061,37,66,,,114,216,38,77,34,78,42,79,,,,,58,125,33,61,63,129,37,69,,,38,84,37,77
guldan,2.55.9.93640,3302,6560,209,427,,,732,1472,215,435,237,452,260,480,,,,,347,671,261,497,386,777,207,445,,,230,453,218,451
guldan,2.55.10.93810,5436,10848,316,671,,,1123,2276,350,706,462,849,440,838,,,,,570,1061,394,812,619,1206,364,766,,,409,833,389,830
guldan,2.55.10.94189,1199,2336,59,123,,,253,521,71,134,97,182,76,187,,,,,152,254,96,187,134,266,85,152,,,82,160,94,170
guldan,2.55.10.94387,1473,2965,74,175,,,297,649,92,156,107,211,108,228,,,,,156,308,127,256,198,353,104,207,,,114,234,96,188
guldan,2.55.10.94470,3967,7984,248,494,,,876,1752,256,512,316,632,259,557,,,,,419,817,293,589,444,899,271,551,,,291,629,294,552
guldan,2.55.12.94714,542,1108,30,70,,,121,248,33,67,46,80,38,87,,,,,45,106,30,52,68,144,34,72,,,48,88,49,94
guldan,2.55.12.94786,4159,8275,229,460,,,939,1884,230,516,298,617,314,605,,,,,433,839,302,592,511,974,289,566,,,324,623,290,599
guldan,2.55.13.95213,286,607,18,40,,,68,150,19,42,20,40,20,44,,,,,34,66,26,42,28,72,20,38,,,16,41,17,32
guldan,2.55.13.95301,905,1906,59,110,,,205,434,58,133,78,143,68,148,,,,,94,188,71,145,98,215,47,131,,,55,122,72,137
hanzo,2.53.0.83004,1198,2631,152,298,,,63,144,143,303,112,233,92,200,80,188,,,109,218,62,166,99,200,104,232,,,83,194,99,255
hanzo,2.53.0.83077,23,46,1,5,,,3,6,1,3,2,2,1,3,2,4,,,3,3,2,2,1,6,5,5,,,0,4,2,3
hanzo,2.53.0.83086,8076,17382,932,1926,,,473,1065,825,1788,731,1653,689,1434,589,1318,,,661,1409,478,1051,636,1336,722,1566,,,654,1351,686,1485
hanzo,2.53.1.83632,373,821,35,98,,,21,36,34,78,30,67,35,67,28,66,,,28,65,23,47,29,70,38,75,,,38,75,34,77
hanzo,2.53.1.83716,7670,16617,898,1897,,,487,1052,761,1612,698,1530,618,1341,581,1254,,,662,1400,488,1061,566,1216,662,1494,,,573,1324,676,1436
hanzo,2.53.2.84200,353,738,30,70,,,17,41,47,86,20,52,25,56,38,67,,,27,54,32,57,35,63,34,68,,,23,57,25,67
hanzo,2.53.3.84249,14769,32675,1741,3713,,,812,1815,1528,3353,1329,3042,1250,2708,1098,2433,,,1166,2616,989,2199,1052,2399,1348,2992,,,1092,2481,1364,2924
hanzo,2.54.0.85027,5526,12047,819,1721,,,301,670,516,1191,477,1105,494,1036,382,889,,,448,999,364,761,398,923,533,1073,286,607,,,508,1072
hanzo,2.54.1.85267,1213,2666,170,355,,,71,156,130,269,123,268,115,258,83,178,,,85,206,69,184,92,195,106,228,62,128,,,107,241
hanzo,2.54.1.85311,4899,10818,693,1492,,,268,610,457,1023,466,1022,439,939,365,853,,,378,872,301,672,347,811,499,1020,257,569,,,429,935
hanzo,2.54.2.85551,278,614,33,76,,,13,30,18,55,20,49,25,51,33,63,,,25,55,28,50,19,45,28,58,21,41,,,15,41
hanzo,2.54.2.85576,4289,10059,637,1426,,,238,610,433,1011,370,890,370,870,317,761,,,347,824,287,650,338,766,378,906,222,512,,,352,833
hanzo,2.54.2.85894,7657,16321,1035,2141,,,441,985,789,1666,713,1492,682,1425,561,1208,,,667,1378,492,1080,620,1321,662,1439,380,857,,,615,1329
hanzo,2.54.3.86223,13421,28438,1818,3861,,,782,1677,1330,2752,1219,2695,1221,2553,1021,2183,,,1107,2320,857,1818,952,1987,1199,2576,679,1442,,,1236,2574
hanzo,2.55.0.86938,13966,30077,1743,3729,,,807,1761,1457,3049,1246,2795,1334,2729,1031,2295,,,1119,2468,896,2022,1083,2272,1308,2772,697,1513,,,1245,2672
hanzo,2.55.1.87306,13530,28892,1604,3442,,,740,1634,1400,2953,1249,2715,1303,2637,1036,2176,,,1132,2419,926,1980,1032,2172,1214,2679,720,1518,,,1174,2567
hanzo,2.55.2.87774,6798,14659,756,1661,,,355,789,742,1542,667,1445,636,1315,542,1124,,,577,1242,450,1050,521,1115,638,1374,345,740,,,569,1262
hanzo,2.55.2.87990,3283,6851,418,830,,,184,358,372,774,310,631,312,635,219,495,,,250,545,245,503,229,508,282,608,168,330,,,294,634
hanzo,2.55.2.88122,13631,28783,1642,3470,,,806,1669,1423,3034,1231,2686,1310,2707,949,2021,,,1122,2373,962,2016,982,2118,1273,2661,737,1548,,,1194,2480
hanzo,2.55.3.88481,17989,38431,2233,4719,,,1048,2275,1904,3986,1625,3575,1647,3434,1292,2738,,,1466,3137,1227,2644,1348,2922,1729,3613,895,2001,,,1575,3387
hanzo,2.55.3.88936,15900,33582,1881,3975,,,907,1989,1646,3438,1469,3196,1548,3103,1123,2350,,,1303,2792,1049,2266,1238,2631,1501,3187,833,1709,,,1402,2946
hanzo,2.55.3.89566,4913,10466,556,1221,,,326,645,484,1026,453,1018,488,993,323,726,,,423,877,353,733,372,807,434,955,266,538,,,435,927
hanzo,2.55.3.89754,29752,63657,3971,8144,,,1816,3864,3311,6863,2879,6320,2952,6215,,,,,2576,5588,2079,4607,2404,5233,2847,6193,,,2249,4840,2668,5790
hanzo,2.55.3.90670,9585,20298,1261,2638,,,573,1184,1095,2240,931,2048,967,2009,,,,,798,1761,683,1472,772,1658,950,1976,,,722,1564,833,1748
hanzo,2.55.3.91020,318,668,52,99,,,17,40,35,70,23,58,32,66,,,,,27,61,28,49,27,57,26,56,,,24,50,27,62
hanzo,2.55.3.91081,554,1151,70,132,,,26,55,73,146,57,123,48,111,,,,,40,94,40,85,46,102,56,121,,,46,82,52,100
hanzo,2.55.3.91093,9350,19971,1299,2624,,,546,1230,1042,2171,920,2008,909,1974,,,,,792,1701,634,1405,797,1645,868,1848,,,705,1547,838,1818
hanzo,2.55.4.91368,1011,2065,122,269,,,59,118,119,239,105,218,95,189,,,,,80,178,77,159,87,178,100,191,,,71,136,96,190
hanzo,2.55.4.91418,12785,27030,1639,3485,,,741,1635,1382,2866,1276,2672,1275,2664,,,,,1111,2297,895,1961,1009,2177,1303,2641,,,994,2124,1160,2508
hanzo,2.55.4.91769,18308,38813,2360,4994,,,1108,2337,2011,4239,1800,3856,1821,3741,,,,,1571,3355,1313,2888,1504,3248,1765,3667,,,1313,2826,1742,3662
hanzo,2.55.5.92264,13077,27786,1733,3583,,,805,1705,1431,2955,1271,2707,1288,2745,,,,,1078,2353,941,2021,1079,2322,1313,2784,,,921,2029,1217,2582
hanzo,2.55.6.92665,9314,19475,1250,2541,,,590,1175,1031,2153,886,1917,949,1921,,,,,815,1692,653,1358,755,1633,892,1912,,,674,1414,819,1759
hanzo,2.55.7.93009,1104,2284,174,324,,,56,133,120,241,101,229,126,231,,,,,106,204,71,159,87,202,93,211,,,61,140,109,210
hanzo,2.55.7.93054,3283,7058,457,962,,,187,383,383,780,289,708,339,683,,,,,275,616,217,491,275,585,350,712,,,234,538,277,600
hanzo,2.55.7.93151,3370,7105,456,959,,,199,416,405,809,323,703,329,689,,,,,273,593,248,528,271,552,316,697,,,235,510,315,649
hanzo,2.55.8.93357,415,852,51,102,,,23,56,46,110,49,95,44,85,,,,,27,63,32,58,38,68,48,87,,,23,52,34,76
hanzo,2.55.8.93382,5757,12328,758,1613,,,311,683,672,1375,562,1225,578,1169,,,,,497,1111,435,947,438,984,597,1212,,,376,860,533,1149
hanzo,2.55.9.93565,65,131,7,18,,,4,7,6,12,10,20,8,12,,,,,6,13,5,9,4,10,6,7,,,4,10,5,13
hanzo,2.55.9.93613,781,1627,112,224,,,45,84,82,174,79,171,84,178,,,,,64,130,51,118,76,143,66,154,,,51,112,71,139
hanzo,2.55.9.93640,5379,11327,753,1534,,,317,638,599,1265,502,1082,509,1110,,,,,466,991,407,849,443,938,501,1062,,,395,831,487,1027
hanzo,2.55.10.93810,8743,18249,1203,2396,,,514,1064,1002,1990,846,1855,858,1780,,,,,721,1518,616,1356,702,1523,874,1792,,,627,1356,780,1619
hanzo,2.55.10.94189,2178,4602,298,609,,,122,293,221,484,187,444,230,463,,,,,198,415,190,367,170,352,201,416,,,165,342,196,417
hanzo,2.55.10.94387,2287,4819,324,663,,,139,277,235,515,229,497,228,457,,,,,214,453,175,368,178,361,203,455,,,170,359,192,414
hanzo,2.55.10.94470,6755,14146,940,1890,,,396,855,743,1582,623,1414,668,1349,,,,,544,1171,500,1050,566,1146,660,1381,,,482,1001,633,1307
hanzo,2.55.12.94714,917,1968,145,279,,,48,101,110,208,86,202,81,209,,,,,76,168,59,130,78,154,81,197,,,72,149,81,171
